Table 3.;;;;;;;;;;
PERSONS OBTAINING LAWFUL PERMANENT RESIDENT STATUS BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2009 TO 2018;;;;;;;;;;
;;;;;;;;;;
Region and country of birth;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Haiti;24 280;22 582;22 111;22 818;20 351;15 274;16 967;23 584;21 824;21 360
Honduras;6 404;6 448;6 133;6 884;8 898;8 156;9 274;13 302;11 387;13 794
Hong Kong;2 651;2 432;2 306;2 104;2 226;2 278;2 085;2 510;2 415;2 075
Hungary;1 314;1 022;1 044;1 054;1 052;996;1 095;1 048;972;917
Iceland;131;105;90;103;139;86;104;97;86;89
India;57 304;69 162;69 013;66 434;68 458;77 908;64 116;64 687;60 394;59 821
Indonesia;3 679;3 032;2 856;2 603;2 731;2 139;2 084;2 129;1 914;1 756
Iran;18 553;14 182;14 822;12 916;12 863;11 615;13 114;13 298;13 791;10 116
Iraq;12 110;19 855;21 133;20 369;9 552;19 153;21 107;18 904;14 203;14 351
Ireland;1 637;1 507;1 371;1 514;1 626;1 605;1 607;1 759;1 485;1 401
Israel;5 612;4 515;3 826;4 153;3 996;3 805;3 965;4 142;3 802;3 706
Italy;2 892;2 579;2 443;2 673;2 960;3 298;3 544;4 078;3 655;3 329
Jamaica;21 783;19 825;19 662;20 705;19 400;19 026;17 642;23 350;21 905;20 347
Japan;7 690;6 264;6 161;6 061;5 925;5 545;5 395;5 207;4 635;4 317
Jordan;4 282;3 868;3 876;4 099;4 188;5 187;4 664;5 269;5 264;5 322
Kazakhstan;1 562;1 282;1 235;1 202;1 241;1 221;1 201;1 310;1 377;1 378
Kenya;9 880;7 421;7 762;7 043;6 123;5 884;5 602;6 274;6 957;7 190
Kiribati;10;6;D;6;3;6;4;9;D;D
Korea, North;67;35;36;49;48;142;55;47;32;41
Korea, South;25 859;22 227;22 824;20 846;23 166;20 423;17 138;21 801;19 194;17 676
Kosovo;-;355;670;782;839;758;814;1 020;1 014;886
Kuwait;1 124;1 037;973;1 044;937;1 057;1 055;1 186;1 177;1 090
Kyrgyzstan;574;507;542;648;652;707;790;847;715;908
Laos;1 688;1 200;956;949;923;806;917;856;685;863
Latvia;444;435;426;436;424;384;480;391;359;356
Lebanon;3 831;3 487;3 295;2 879;2 783;3 245;2 813;2 971;2 818;2 581
Lesotho;14;23;25;17;20;13;23;19;24;12
Liberia;7 641;4 837;4 151;4 109;3 334;3 874;3 795;3 619;4 155;3 101
Libya;296;355;357;315;376;524;734;642;780;499
Lithuania;1 069;985;936;924;854;747;750;735;645;658
Luxembourg;30;22;24;19;40;26;27;34;33;30
Macau;158;143;130;120;106;105;99;109;109;91
Macedonia;1 128;963;1 078;906;895;960;1 060;1 262;1 027;1 082
Madagascar;71;80;83;79;95;86;72;88;60;79
Malawi;164;164;123;192;159;172;160;205;228;257
Malaysia;2 014;1 714;2 273;2 605;2 477;2 622;2 749;3 382;4 109;3 051
Maldives;6;5;3;3;5;13;8;11;5;D
Mali;576;528;629;734;667;604;587;598;544;488
Malta;58;74;51;62;43;39;58;65;75;58
Marshall Islands;48;37;38;50;46;56;32;32;23;23
Mauritania;597;495;393;410;354;320;298;317;287;212
Mauritius;110;84;101;77;83;81;96;110;96;67
Mexico;164 920;139 120;143 446;146 406;135 028;134 052;158 619;174 534;170 581;161 858
Micronesia, Federated States;16;10;9;13;4;5;6;11;6;19
Moldova;2 295;1 981;2 258;2 021;2 485;2 341;2 496;2 929;2 480;2 206
Monaco;4;12;6;5;8;8;10;11;14;13
Mongolia;831;594;774;691;729;651;644;750;661;636
Montenegro;-;120;204;265;265;289;251;387;323;299
Montserrat;43;27;30;27;-;38;14;14;12;20
Morocco;5 447;5 013;4 399;3 656;3 336;3 605;3 710;4 586;4 229;3 077
Mozambique;66;53;60;94;73;71;107;101;96;100
Namibia;53;60;43;59;57;44;86;87;130;75
Nepal;4 514;7 115;10 166;11 312;13 046;12 357;12 926;12 851;11 610;11 953
Netherlands;1 499;1 321;1 085;1 091;1 142;1 195;1 309;1 319;1 056;998
Netherlands Antilles (former);97;77;86;106;128;45;22;18;9;7
New Caledonia;13;6;5;3;6;6;9;5;4;6
New Zealand;947;919;803;814;921;796;855;846;798;719
Nicaragua;4 137;3 565;3 401;3 046;3 048;2 886;3 324;3 486;3 072;3 061
Niger;183;96;96;48;37;71;55;119;116;93
Nigeria;15 253;13 376;11 824;13 575;13 840;12 828;11 542;14 380;13 539;13 952
Norway;407;334;339;276;335;271;310;362;290;284
Oman;74;63;60;74;73;90;85;116;104;110
Pakistan;21 555;18 258;15 546;14 740;13 251;18 612;18 057;19 313;17 408;15 802
Palau;16;18;7;10;16;12;15;14;13;7
Panama;1 806;1 536;1 374;1 281;1 234;1 095;1 052;1 029;889;897
Papua New Guinea;19;30;20;21;27;18;11;23;18;27
Paraguay;530;467;500;467;448;391;382;434;391;389
Peru;16 957;14 247;14 064;12 609;12 564;10 606;10 148;10 940;10 115;9 878
Philippines;60 029;58 173;57 011;57 327;54 446;49 996;56 478;53 287;49 147;47 258
Poland;8 754;7 643;6 863;6 300;6 430;5 689;5 275;5 603;4 845;4 357
Portugal;946;755;821;811;918;892;857;1 006;939;889
Qatar;134;148;193;141;191;202;229;272;224;236
Romania;4 910;4 003;3 882;3 748;3 773;3 246;3 376;3 554;2 953;2 448
Russia;8 238;6 718;7 944;9 969;9 753;9 079;8 799;9 297;8 918;8 621
Rwanda;952;489;520;592;540;555;732;1 357;1 394;1 620
Saint Kitts and Nevis;310;339;350;311;259;263;222;250;238;250
Saint Lucia;1 027;872;785;919;853;844;739;777;777;696
Saint Vincent and the Grenadines;591;576;468;503;529;448;415;422;361;333
Samoa;250;219;267;238;237;239;207;219;194;179
Sao Tome and Principe;11;10;9;12;6;5;6;12;10;9
Saudi Arabia;1 418;1 263;1 396;1 343;1 463;1 696;1 744;2 117;2 135;2 100
Senegal;1 524;1 285;1 424;1 615;1 340;1 273;1 244;1 533;1 470;1 420
Serbia;-;20;244;704;866;1 143;1 278;1 351;1 410;1 217
Serbia and Montenegro (former);3 166;2 196;1 398;801;653;267;232;202;144;132
Seychelles;10;8;15;7;6;7;11;16;10;6
Sierra Leone;2 687;2 011;1 985;1 688;1 651;1 740;1 599;1 535;2 058;1 527
Singapore;832;774;690;712;835;779;781;812;818;801
Sint Maarten;X;X;-;-;-;45;45;42;35;27
Slovakia;706;538;594;528;507;460;424;483;388;370
Slovenia;108;74;69;86;62;78;107;119;108;95
Somalia;13 390;4 558;4 451;5 204;3 764;5 190;6 796;6 958;7 404;7 557
South Africa;3 171;2 758;2 649;2 781;2 629;2 676;2 907;3 023;2 912;3 010
South Sudan;X;X;-;17;59;74;127;124;160;185
Soviet Union (former);5 911;4 978;3 687;1 296;1 264;1 136;1 022;1 042;939;1 022
Spain;1 769;1 684;1 890;1 842;2 480;2 928;3 303;3 519;3 045;2 841
Sri Lanka;2 009;2 036;2 053;1 994;1 847;1 767;1 763;1 913;1 627;1 594
Sudan;3 577;2 397;2 628;2 471;1 945;2 442;3 580;3 159;3 515;3 658
Suriname;227;216;196;187;178;158;134;156;136;182
Sweden;1 138;1 097;979;968;1 106;954;1 066;1 144;950;889
Switzerland;798;675;615;635;697;656;640;743;565;570
Syria;2 442;2 555;2 785;3 014;3 366;3 540;3 840;4 800;5 877;14 686
Taiwan;8 038;6 732;6 154;5 331;5 385;4 697;4 888;5 120;4 858;5 079
Tajikistan;265;299;382;411;550;516;595;593;652;893
Tanzania;2 773;1 850;1 427;1 516;837;774;799;788;1 415;3 186
Thailand;10 444;9 384;9 962;9 459;7 583;6 197;7 502;7 039;6 311;5 556
Togo;1 680;1 563;1 506;1 756;1 257;1 612;1 547;1 938;1 572;1 534
Tonga;379;343;408;276;348;320;327;283;262;225
Trinidad and Tobago;6 256;5 435;5 023;5 214;4 724;3 988;3 212;3 469;3 100;2 758
Tunisia;416;418;440;422;445;429;518;518;535;517
